Data;Tipo;Cliente;Produto;Código;Núm. Fato;Núm. NF;Categoria;Grupo;Vendedor;Usuário;Qtd.;Custo Un.;Margem;Preço Un.;Tot. Custo (R$);Sub-Total (R$);Desconto (R$);Tot. Venda (R$);Lucro Tot. (R$);NCM
31/07/2025;s;;ORIGINAL LT 473ML;330;FG111411;1286;Receitas financeiras: Venda;CERVEJA (ALCOÓLICOS);BARBARA SILVA SOUZA;Artur Henrique;2,00;4,72;20,55;5,69;9,44;11,38;0,00;11,38;1,94;22030000
31/07/2025;s;;CACHAÇA VILLA OURO AMBURANA PRATA 500ML;565;FG111410;;Receitas financeiras: Venda;DESTILADOS (ALCOÓLICOS);BARBARA SILVA SOUZA;Artur Henrique;1,00;4,00;62,50;6,50;4,00;6,50;0,00;6,50;2,50;
31/07/2025;s;;CIGARRO SANMARINO AZUL;142;FG111410;;Receitas financeiras: Venda;CIGARROS (TABACARIA);BARBARA SILVA SOUZA;Artur Henrique;1,00;4,00;37,50;5,50;4,00;5,50;0,00;5,50;1,50;
31/07/2025;s;;ISQUEIRO BIC MAX;79;FG111410;;Receitas financeiras: Venda;UTILITÁRIOS (TABACARIA);BARBARA SILVA SOUZA;Artur Henrique;1,00;4,00;50,00;6,00;4,00;6,00;0,00;6,00;2,00;
31/07/2025;s;;COCA COLA LT 350ML;136;FG111410;;Receitas financeiras: Venda;REFRIGERANTE (NÃO ALCÓOLICOS);BARBARA SILVA SOUZA;Artur Henrique;1,00;3,18;25,79;4,00;3,18;4,00;0,00;4,00;0,82;22021000
31/07/2025;s;;COCA COLA LT 350ML;136;FG111409;1285;Receitas financeiras: Venda;REFRIGERANTE (NÃO ALCÓOLICOS);BARBARA SILVA SOUZA;Artur Henrique;1,00;3,18;25,79;4,00;3,18;4,00;0,00;4,00;0,82;22021000
31/07/2025;s;;BRAHMA CHOPP LT 473ML;19;FG111408;1284;Receitas financeiras: Venda;CERVEJA (ALCOÓLICOS);BARBARA SILVA SOUZA;Artur Henrique;4,00;3,38;47,63;4,99;13,52;19,96;0,00;19,96;6,44;22030000
31/07/2025;s;;RED BULL TRAD LT 473ML;481;FG111407;1283;Receitas financeiras: Venda;ENERGÉTICOS (NÃO ALCÓOLICOS);BARBARA SILVA SOUZA;Artur Henrique;1,00;11,14;43,54;15,99;11,14;15,99;0,00;15,99;4,85;22029900
31/07/2025;s;;HALLS UVA VERDE;61;FG111407;1283;Receitas financeiras: Venda;BOMBONIERE (ALIMENTOS);BARBARA SILVA SOUZA;Artur Henrique;1,00;1,26;138,10;3,00;1,26;3,00;0,00;3,00;1,74;17049020
31/07/2025;s;;SEDA ZOMO NATURAL PERFECT BLACK KING SLIM;93;FG111406;;Receitas financeiras: Venda;UTILITÁRIOS (TABACARIA);BARBARA SILVA SOUZA;Artur Henrique;1,00;2,00;150,00;5,00;2,00;5,00;0,00;5,00;3,00;
